Name,Image URL,Reviews,Type,Address,Phone Number,Opening Hours,Restaurant Page Link,Delivery Link
סוהו - SOHO,https://images.rest.co.il/Customers/80331799/6fb9050b037a4cfda84ac30a0c2f3f3c_56.jpg,669 חוות דעת,מסעדה אסייאתית,"משה בקר 15, ראשון לציון | אנחנו פתוחים!",053-6375870,אנחנו פתוחים!,https://www.rest.co.il/rest/80331799/,https://www.mishlohim.co.il/menu/3394/
גוזפינה - Giuseppina,https://images.rest.co.il/Customers/80377795/a794d56874e249989b6e76cde80f5fcd_56.png,,מסעדה איטלקית,"דוד רמז 4, מתחם התחנה ירושלים | תיפתח היום בשעה 17:00",053-5842733,תיפתח היום בשעה 17:00,https://www.rest.co.il/rest/80377795/,No delivery link
קאזה דו ברזיל - Casa Do Brasil,https://images.rest.co.il/Customers/80357712/04c7c1b2d0b8459a988781bc0c05eec7_56.jpg,4 חוות דעת,מסעדה דרום אמריקאית | מחיר ₪₪₪₪,"שד' חטיבת גולני 3, אילת | אנחנו פתוחים!",,אנחנו פתוחים!,https://www.rest.co.il/rest/80357712/,No delivery link
צ'ארליז CHARLIE'S - CHARLIE'S,https://images.rest.co.il/tagimages/1/2/70025020/1/871dd1383bd34defa1c6984d2e50c435.jpg,16 חוות דעת,פאבים וברים | כשר,ניר בנים | אנחנו פתוחים!,053-9349465,אנחנו פתוחים!,https://www.rest.co.il/rest/80347770/,No delivery link
הטאג'ין,https://images.rest.co.il/tagimages/1/2/70025020/1/871dd1383bd34defa1c6984d2e50c435.jpg,,מסעדת בשרים | כשר,"המסגר 38, חצור הגלילית | אנחנו פתוחים!",053-5495102,אנחנו פתוחים!,https://www.rest.co.il/rest/80372012/,No delivery link
בני הדייג,https://images.rest.co.il/tagimages/1/2/70025020/1/871dd1383bd34defa1c6984d2e50c435.jpg,24 חוות דעת,מסעדת דגים | מחיר ₪₪₪₪,"כפר הים 1, גבעת אולגה, חדרה | אנחנו פתוחים!",053-7103376,אנחנו פתוחים!,https://www.rest.co.il/rest/80206812/,No delivery link
אברטו ביסטרו - Aberto,https://images.rest.co.il/tagimages/1/2/70025020/1/871dd1383bd34defa1c6984d2e50c435.jpg,29 חוות דעת,ביסטרו,"שכביץ 5, גדרה | אנחנו פתוחים!",053-9374768,אנחנו פתוחים!,https://www.rest.co.il/rest/80323625/,No delivery link
BBB הכשר - קריית גת,https://images.rest.co.il/tagimages/1/2/70025020/1/871dd1383bd34defa1c6984d2e50c435.jpg,,מסעדת המבורגרים,"דרך הדרום 3, קריית גת | אנחנו פתוחים!",053-7933532,אנחנו פתוחים!,https://www.rest.co.il/rest/80345468/,No delivery link
TEXAS STEAK HOUSE טקסס סטייק האוס,https://images.rest.co.il/tagimages/1/2/70025020/1/871dd1383bd34defa1c6984d2e50c435.jpg,42 חוות דעת,מסעדת בשרים,"תש""ח 11, אשדוד | אנחנו פתוחים!",053-6114539,אנחנו פתוחים!,https://www.rest.co.il/rest/80368131/,No delivery link
מרכז השווארמה,https://images.rest.co.il/tagimages/1/2/70025020/1/871dd1383bd34defa1c6984d2e50c435.jpg,1 חוות דעת,מסעדת בשרים,"דרך הבנים 7, פרדס חנה-כרכור | אנחנו פתוחים!",053-3204182,אנחנו פתוחים!,https://www.rest.co.il/rest/80375408/,No delivery link
פליים - Flame,https://images.rest.co.il/tagimages/1/2/70025020/1/871dd1383bd34defa1c6984d2e50c435.jpg,,מסעדת בשרים | כשר,"אליעזר פרי 10, תל אביב | תיפתח היום בשעה 18:00",053-2474297,תיפתח היום בשעה 18:00,https://www.rest.co.il/rest/80370588/,No delivery link
באביס' - babbi's,https://images.rest.co.il/tagimages/1/2/70025020/1/871dd1383bd34defa1c6984d2e50c435.jpg,,מסעדת בשרים | כשר,"הבנאים 3, אשדוד | אנחנו פתוחים!",053-9344954,אנחנו פתוחים!,https://www.rest.co.il/rest/80375608/,No delivery link
דוניאנא,https://images.rest.co.il/Customers/80022560/3f7c1cd312cd45cb9cb8550db183d49e_56.jpg,186 חוות דעת,מסעדה ים תיכונית | מחיר ₪₪₪₪,עכו העתיקה | אנחנו פתוחים!,053-6206656,אנחנו פתוחים!,https://www.rest.co.il/rest/80022560/,No delivery link
קמליה,https://images.rest.co.il/Customers/80025786/fb4b7904fc4945fb9b9dc96b78f74acb_56.jpeg,No reviews,מסעדה בלקנית | מחיר ₪₪₪₪,ניר אליהו | אנחנו פתוחים!,053-9443563,אנחנו פתוחים!,https://www.rest.co.il/rest/80025786/,No delivery link
פרש דה מרקט - Fresh The Market,https://images.rest.co.il/Customers/80334628/b44821b58f3b4b6b8e0311673ece8ed7_56.jpg,2 חוות דעת,מסעדה איטלקית | כשר,"דרך הדרום 3, קריית גת | אנחנו פתוחים!",053-9416941,אנחנו פתוחים!,https://www.rest.co.il/rest/80334628/,No delivery link
פיצה לאונרדו,https://images.rest.co.il/Customers/80337100/598a503d730d4d6e84afe5b3ca609754_56.PNG,,פיצריות | כשר | מחיר ₪₪₪₪,כוכב יאיר | אנחנו פתוחים!,053-9386004,אנחנו פתוחים!,https://www.rest.co.il/rest/80337100/,https://www.mishlohim.co.il/menu/6542/
מאנצ' בר כפר סבא,https://images.rest.co.il/Customers/80373570/77491030bca949d382621019c4a9a7af_56.jpg,,בר קוקטיילים,"הצומת 9, קניון הצומת, כפר סבא | אנחנו פתוחים!",053-6481848,אנחנו פתוחים!,https://www.rest.co.il/rest/80373570/,https://www.mishlohim.co.il/menu/13995/
רונן בשרים,https://images.rest.co.il/Customers/80270772/c7f6bce2f1aa49f69f5f61413916b7f9_56.jpg,11 חוות דעת,מסעדת בשרים | כשר,"שכטרמן 28, נתניה | אנחנו פתוחים!",053-9377160,אנחנו פתוחים!,https://www.rest.co.il/rest/80270772/,https://www.mishlohim.co.il/menu/8665/
קקאו,https://images.rest.co.il/Customers/80269105/52096544b19c488b9771cbb7e4c1fe5a_56.jpg,,בתי קפה | כשר,"הנמל 9, אשקלון | אנחנו פתוחים!",053-9386170,אנחנו פתוחים!,https://www.rest.co.il/rest/80269105/,No delivery link
פורטר אנד סאנס - Porter and Sons,https://images.rest.co.il/Customers/80084259/9b995654cc594fa8b3b61b4b3937064d_56.png,110 חוות דעת,מסעדת בשרים | מחיר ₪₪₪₪,"הארבעה 14, תל אביב | אנחנו פתוחים!",053-4272561,אנחנו פתוחים!,https://www.rest.co.il/rest/80084259/,No delivery link
האיטלקייה,https://images.rest.co.il/Customers/80270455/68f36d44634444479598db776d3e6341_56.jpg,5 חוות דעת,מסעדה איטלקית | כשר,"ירושלים הבירה 46, בית שאן | אנחנו פתוחים!",053-9383488,אנחנו פתוחים!,https://www.rest.co.il/rest/80270455/,https://www.mishlohim.co.il/menu/8578/
בלה בעמק,https://images.rest.co.il/Customers/80116237/89e20af3c7be4711be67d323013da6fe_56.gif,No reviews,"מסעדה איטלקית, שף",בית שערים | תיפתח היום בשעה 17:00,053-9414924,תיפתח היום בשעה 17:00,https://www.rest.co.il/rest/80116237/,No delivery link
